GBOV_ID,Site,GROUND_DATA_PI,GROUND_DATA_PIs_Email,GBOV_Email,Network,Elevation,IGBP_class,latitude,longitude,system:time_start,Version,PLOT_ID,LAIe_Miller_up,LAIe_Miller_up_err,LAI_Miller_up,LAI_Miller_up_err,clumping_Miller_up,clumping_Miller_up_err,LAIe_Warren_up,LAIe_Warren_up_err,LAI_Warren_up,LAI_Warren_up_err,clumping_Warren_up,clumping_Warren_up_err,LAIe_Miller_down,LAIe_Miller_down_err,LAI_Miller_down,LAI_Miller_down_err,clumping_Miller_down,clumping_Miller_down_err,LAIe_Warren_down,LAIe_Warren_down_err,LAI_Warren_down,LAI_Warren_down_err,clumping_Warren_down,clumping_Warren_down_err,up_flag,down_flag
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1460592000000.0,2.0,SERC_054,0.735,0.023,0.889,0.030,0.83,0.04,0.73,0.04,0.97,0.07,0.76,0.07,0.0246,0.0024,0.0258,0.0029,0.95,0.14,0.0276,0.0029,0.0281,0.0030,0.98,0.15,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1461801600000.0,2.0,SERC_054,2.73,0.08,3.48,0.09,0.784,0.031,2.61,0.12,3.41,0.14,0.77,0.05,0.167,0.012,0.180,0.014,0.93,0.10,0.160,0.022,0.169,0.025,0.95,0.19,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1463011200000.0,2.0,SERC_054,4.18,0.12,5.49,0.15,0.761,0.029,3.44,0.16,4.50,0.18,0.76,0.05,0.280,0.015,0.302,0.018,0.93,0.07,0.288,0.025,0.306,0.029,0.94,0.12,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1464134400000.0,2.0,SERC_054,4.09,0.11,5.41,0.14,0.756,0.029,3.08,0.13,4.18,0.17,0.74,0.04,0.614,0.024,0.649,0.026,0.95,0.05,0.497,0.031,0.518,0.034,0.96,0.09,0,16
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1465344000000.0,2.0,SERC_054,4.51,0.22,6.19,0.21,0.73,0.04,3.2,0.4,4.66,0.31,0.69,0.09,0.87,0.04,0.93,0.04,0.93,0.06,0.60,0.05,0.64,0.05,0.93,0.11,8,16
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1466553600000.0,2.0,SERC_054,4.72,0.13,6.18,0.16,0.763,0.029,3.61,0.14,4.85,0.17,0.74,0.04,0.595,0.021,0.654,0.031,0.91,0.05,0.447,0.029,0.467,0.032,0.96,0.09,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1467958140000.0,2.0,SERC_054,4.06,0.23,5.78,0.25,0.70,0.05,2.9,0.4,4.4,0.4,0.65,0.11,0.726,0.025,0.750,0.027,0.97,0.05,0.56,0.04,0.58,0.04,0.97,0.09,64,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1469134320000.0,2.0,SERC_054,4.85,0.13,6.24,0.15,0.777,0.028,3.57,0.14,4.67,0.17,0.76,0.04,0.357,0.022,0.388,0.027,0.92,0.08,0.300,0.031,0.32,0.04,0.94,0.14,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1471564800000.0,2.0,SERC_054,4.69,0.12,6.05,0.15,0.775,0.028,3.57,0.14,4.72,0.18,0.76,0.04,0.611,0.029,0.663,0.033,0.92,0.06,0.51,0.04,0.56,0.05,0.92,0.10,0,16
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1472758860000.0,2.0,SERC_054,4.52,0.13,5.85,0.14,0.773,0.029,3.29,0.18,4.47,0.17,0.74,0.05,0.425,0.021,0.461,0.026,0.92,0.07,0.360,0.033,0.43,0.08,0.83,0.18,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1473959280000.0,2.0,SERC_054,4.57,0.13,6.00,0.16,0.761,0.029,3.61,0.15,4.77,0.19,0.76,0.04,0.120,0.009,0.128,0.010,0.94,0.10,0.122,0.015,0.127,0.017,0.96,0.17,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1475798400000.0,2.0,SERC_054,4.10,0.13,5.38,0.14,0.762,0.031,3.05,0.21,4.25,0.20,0.72,0.06,0.260,0.013,0.268,0.013,0.97,0.07,0.230,0.017,0.234,0.017,0.98,0.10,0,8
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1476230400000.0,2.0,SERC_054,4.21,0.12,5.47,0.14,0.768,0.029,2.88,0.13,3.93,0.15,0.73,0.04,0.400,0.012,0.408,0.013,0.98,0.04,0.326,0.015,0.331,0.015,0.99,0.06,0,16
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1477526400000.0,2.0,SERC_054,3.40,0.11,4.58,0.12,0.741,0.031,2.71,0.15,3.63,0.15,0.75,0.05,0.095,0.009,0.125,0.026,0.76,0.18,0.111,0.024,0.20,0.09,0.56,0.28,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1490140800000.0,2.0,SERC_054,0.623,0.018,0.730,0.027,0.85,0.04,0.581,0.026,0.74,0.06,0.79,0.08,0.0276,0.0019,0.0280,0.0020,0.99,0.10,0.054,0.004,0.055,0.005,0.98,0.11,0,16
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1491436800000.0,2.0,SERC_054,0.616,0.018,0.714,0.025,0.86,0.04,0.650,0.030,0.80,0.06,0.81,0.07,0.0312,0.0027,0.0320,0.0030,0.97,0.12,0.045,0.005,0.045,0.005,0.98,0.16,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1492560000000.0,2.0,SERC_054,1.67,0.05,1.96,0.06,0.852,0.034,1.59,0.06,1.96,0.09,0.82,0.05,0.043,0.005,0.046,0.006,0.94,0.16,0.068,0.017,0.079,0.028,0.9,0.4,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1493929440000.0,2.0,SERC_054,4.24,0.12,5.56,0.14,0.762,0.029,3.28,0.16,4.37,0.18,0.75,0.05,0.403,0.020,0.430,0.022,0.94,0.07,0.373,0.034,0.41,0.04,0.91,0.13,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1495648920000.0,2.0,SERC_054,4.58,0.13,6.12,0.15,0.749,0.028,3.27,0.15,4.57,0.17,0.71,0.04,0.261,0.016,0.288,0.021,0.91,0.09,0.267,0.026,0.30,0.04,0.90,0.14,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1496498220000.0,2.0,SERC_054,4.86,0.14,6.37,0.15,0.763,0.029,3.41,0.18,4.58,0.16,0.74,0.05,0.166,0.014,0.184,0.016,0.90,0.11,0.175,0.024,0.192,0.029,0.91,0.19,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1497584880000.0,2.0,SERC_054,4.94,0.14,6.49,0.16,0.761,0.028,3.39,0.17,4.71,0.19,0.72,0.05,0.277,0.019,0.307,0.024,0.90,0.09,0.311,0.031,0.38,0.07,0.81,0.16,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1498681320000.0,2.0,SERC_054,5.02,0.14,6.51,0.16,0.771,0.029,3.48,0.17,4.66,0.18,0.75,0.05,0.176,0.016,0.212,0.026,0.83,0.13,0.171,0.015,0.22,0.04,0.79,0.17,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1499731200000.0,2.0,SERC_054,4.84,0.14,6.31,0.16,0.767,0.029,3.62,0.15,4.75,0.17,0.76,0.04,0.468,0.019,0.483,0.020,0.97,0.06,0.396,0.026,0.408,0.028,0.97,0.09,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1501459200000.0,2.0,SERC_054,4.76,0.13,6.19,0.15,0.768,0.028,3.64,0.18,4.86,0.17,0.75,0.05,0.352,0.018,0.390,0.022,0.90,0.07,0.307,0.021,0.325,0.024,0.95,0.10,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1502236800000.0,2.0,SERC_054,4.67,0.14,6.14,0.15,0.760,0.030,3.35,0.17,4.57,0.18,0.73,0.05,0.553,0.018,0.570,0.019,0.97,0.05,0.465,0.027,0.50,0.04,0.94,0.09,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1503964800000.0,2.0,SERC_054,4.61,0.12,6.00,0.15,0.769,0.028,3.47,0.18,4.55,0.19,0.76,0.05,0.211,0.013,0.226,0.015,0.93,0.09,0.193,0.022,0.25,0.07,0.77,0.22,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1504656000000.0,2.0,SERC_054,4.54,0.13,6.02,0.16,0.754,0.030,3.36,0.14,4.68,0.19,0.72,0.04,0.136,0.012,0.150,0.014,0.90,0.11,0.149,0.027,0.18,0.04,0.81,0.23,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1505952000000.0,2.0,SERC_054,4.51,0.13,5.93,0.15,0.760,0.029,3.22,0.13,4.34,0.16,0.74,0.04,0.255,0.012,0.267,0.013,0.95,0.07,0.235,0.018,0.246,0.021,0.95,0.11,0,16
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1506988800000.0,2.0,SERC_054,4.38,0.13,5.78,0.14,0.758,0.029,3.04,0.16,4.16,0.15,0.73,0.05,0.290,0.011,0.300,0.013,0.97,0.06,0.263,0.017,0.30,0.04,0.89,0.14,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1508284800000.0,2.0,SERC_054,3.93,0.12,5.32,0.14,0.738,0.030,2.90,0.13,3.95,0.15,0.73,0.04,0.165,0.008,0.172,0.010,0.96,0.07,0.164,0.014,0.170,0.017,0.96,0.12,0,16
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1521763200000.0,2.0,SERC_054,0.558,0.019,0.650,0.025,0.86,0.04,0.523,0.026,0.63,0.06,0.83,0.09,0.0064,0.0008,0.0065,0.0008,0.99,0.18,0.0132,0.0023,0.0133,0.0024,0.99,0.25,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1522713600000.0,2.0,SERC_054,0.560,0.017,0.700,0.033,0.80,0.05,0.669,0.030,0.86,0.08,0.78,0.08,0.0046,0.0011,0.0048,0.0012,0.97,0.32,0.0051,0.0011,0.0051,0.0011,0.99,0.30,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1525305600000.0,2.0,SERC_054,3.19,0.10,4.32,0.11,0.740,0.030,2.40,0.13,3.29,0.15,0.73,0.05,0.122,0.009,0.134,0.011,0.91,0.10,0.147,0.017,0.159,0.021,0.92,0.16,1,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1526860800000.0,2.0,SERC_054,4.53,0.13,5.98,0.14,0.758,0.028,3.17,0.16,4.37,0.15,0.73,0.04,0.544,0.021,0.582,0.027,0.93,0.06,0.477,0.031,0.53,0.06,0.90,0.11,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1528848000000.0,2.0,SERC_054,4.89,0.14,6.44,0.17,0.759,0.029,3.52,0.17,4.71,0.20,0.75,0.05,0.361,0.015,0.380,0.017,0.95,0.06,0.312,0.018,0.326,0.021,0.96,0.08,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1530057600000.0,2.0,SERC_054,4.83,0.12,6.23,0.15,0.774,0.027,3.60,0.13,4.68,0.16,0.77,0.04,0.169,0.015,0.200,0.020,0.84,0.11,0.199,0.030,0.25,0.06,0.79,0.22,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1531353600000.0,2.0,SERC_054,4.80,0.13,6.28,0.16,0.763,0.029,3.50,0.16,4.68,0.18,0.75,0.04,0.301,0.015,0.322,0.018,0.94,0.07,0.262,0.024,0.279,0.027,0.94,0.12,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1532563200000.0,2.0,SERC_054,4.64,0.14,6.05,0.16,0.766,0.030,3.54,0.13,4.64,0.17,0.76,0.04,0.339,0.013,0.352,0.015,0.96,0.06,0.278,0.017,0.287,0.020,0.97,0.09,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1533513600000.0,2.0,SERC_054,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.265,0.021,0.32,0.04,0.83,0.12,0.238,0.022,0.268,0.031,0.89,0.13,-999,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1534982400000.0,2.0,SERC_054,4.57,0.13,5.97,0.15,0.765,0.029,3.34,0.13,4.47,0.16,0.75,0.04,0.414,0.014,0.430,0.017,0.96,0.05,0.357,0.022,0.39,0.04,0.91,0.11,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1536192000000.0,2.0,SERC_054,4.47,0.13,5.84,0.16,0.766,0.030,3.28,0.15,4.35,0.17,0.75,0.05,0.640,0.018,0.650,0.018,0.99,0.04,0.493,0.018,0.500,0.018,0.99,0.05,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1537401600000.0,2.0,SERC_054,4.33,0.12,5.62,0.14,0.772,0.029,3.14,0.16,4.16,0.16,0.76,0.05,0.126,0.010,0.141,0.016,0.89,0.13,0.134,0.019,0.18,0.05,0.74,0.25,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1538611200000.0,2.0,SERC_054,3.85,0.11,5.03,0.14,0.766,0.030,3.05,0.15,4.09,0.19,0.75,0.05,0.119,0.008,0.127,0.010,0.94,0.09,0.122,0.013,0.131,0.017,0.93,0.15,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1539820800000.0,2.0,SERC_054,3.26,0.10,4.37,0.12,0.747,0.031,2.35,0.12,3.30,0.14,0.71,0.05,0.127,0.006,0.132,0.007,0.96,0.07,0.139,0.016,0.151,0.025,0.91,0.18,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1554399300000.0,2.0,SERC_054,0.490,0.016,0.588,0.023,0.83,0.04,0.679,0.033,0.87,0.07,0.78,0.07,0.0082,0.0013,0.0085,0.0015,0.96,0.23,0.014,0.004,0.015,0.005,0.9,0.4,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1555396860000.0,2.0,SERC_054,0.800,0.024,0.944,0.032,0.85,0.04,0.72,0.04,0.88,0.07,0.82,0.08,0.0187,0.0019,0.0194,0.0021,0.97,0.14,0.0148,0.0026,0.0150,0.0027,0.98,0.25,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1556645580000.0,2.0,SERC_054,3.56,0.11,4.86,0.13,0.733,0.030,2.76,0.12,3.77,0.16,0.73,0.04,0.285,0.017,0.322,0.024,0.88,0.08,0.277,0.029,0.31,0.04,0.89,0.15,0,0
GBOV_RM7_211,SmithsonianEnvironmentalResearchCenter,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,15,Croplands,38.89016,-76.5601,1560283860000.0,2.0,SERC_054,4.45,0.12,5.92,0.15,0.752,0.028,3.31,0.13,4.53,0.17,0.73,0.04,0.276,0.018,0.300,0.021,0.92,0.09,0.251,0.024,0.274,0.030,0.92,0.13,0,0
